id,subject_code,name,college,branch,year,description
1,MA100,Mathematics-I,NITG,CVE,FIRST,NULL
2,PH100,Physics,NITG,CVE,FIRST,NULL
3,ME100,Engineering Mechanics,NITG,CVE,FIRST,NULL
4,CS100,Computer Programming and Problem solving,NITG,CVE,FIRST,NULL
5,HU100,Professional Communication,NITG,CVE,FIRST,NULL
6,ME101,Engineering Drawing,NITG,CVE,FIRST,NULL
7,PH101,Physics Laboratory,NITG,CVE,FIRST,NULL
8,MA150,Mathematics-II,NITG,CVE,FIRST,NULL
9,PH150,Material Science,NITG,CVE,FIRST,NULL
10,CY150,Chemistry,NITG,CVE,FIRST,NULL
11,ME150,Elements of Mechanical Engineering,NITG,CVE,FIRST,NULL
12,EE151,Basic electrical science,NITG,CVE,FIRST,NULL
13,ME151,Workshop Practices,NITG,CVE,FIRST,NULL
14,CY151,Chemistry- Laboratory,NITG,CVE,FIRST,NULL
15,EE152,Basic Electrical Science Lab,NITG,CVE,FIRST,NULL
16,PE150,Physical Education,NITG,CVE,FIRST,NULL
