id,subject_code,name,college,branch,year,description
1,MA100,Mathematics-I,NITG,ECE,FIRST,NULL
2,PH100,Physics,NITG,ECE,FIRST,NULL
3,ME100,Engineering Mechanics,NITG,ECE,FIRST,NULL
4,CS100,Computer Programming and Problem solving,NITG,ECE,FIRST,NULL
5,HU100,Professional Communication,NITG,ECE,FIRST,NULL
6,ME101,Engineering Drawing,NITG,ECE,FIRST,NULL
7,PH101,Physics Laboratory,NITG,ECE,FIRST,NULL
8,MA150,Mathematics-II,NITG,ECE,FIRST,NULL
9,PH150,Material Science,NITG,ECE,FIRST,NULL
10,CY150,Chemistry,NITG,ECE,FIRST,NULL
11,ME150,Elements of Mechanical Engineering,NITG,ECE,FIRST,NULL
12,EE151,Basic electrical science,NITG,ECE,FIRST,NULL
13,ME151,Workshop Practices,NITG,ECE,FIRST,NULL
14,CY151,Chemistry- Laboratory,NITG,ECE,FIRST,NULL
15,EE152,Basic Electrical Science Lab,NITG,ECE,FIRST,NULL
16,PE150,Physical Education,NITG,ECE,FIRST,NULL
