id,subject_code,name,college,branch,year,description
1,MA100,Mathematics-I,NITG,MCE,FIRST,NULL
2,PH100,Physics,NITG,MCE,FIRST,NULL
3,ME100,Engineering Mechanics,NITG,MCE,FIRST,NULL
4,CS100,Computer Programming and Problem solving,NITG,MCE,FIRST,NULL
5,HU100,Professional Communication,NITG,MCE,FIRST,NULL
6,ME101,Engineering Drawing,NITG,MCE,FIRST,NULL
7,PH101,Physics Laboratory,NITG,MCE,FIRST,NULL
8,MA150,Mathematics-II,NITG,MCE,FIRST,NULL
9,PH150,Material Science,NITG,MCE,FIRST,NULL
10,CY150,Chemistry,NITG,MCE,FIRST,NULL
11,ME150,Elements of Mechanical Engineering,NITG,MCE,FIRST,NULL
12,EE151,Basic electrical science,NITG,MCE,FIRST,NULL
13,ME151,Workshop Practices,NITG,MCE,FIRST,NULL
14,CY151,Chemistry- Laboratory,NITG,MCE,FIRST,NULL
15,EE152,Basic Electrical Science Lab,NITG,MCE,FIRST,NULL
16,PE150,Physical Education,NITG,MCE,FIRST,NULL
